Model,Abbreviation,rep,liking,sweetness,sour,umami,intensity
Bayes A,BayesA,1,0.626170432,0.762712976,0.672998324,0.521038898,0.774011957
Bayes A,BayesA,2,0.577998061,0.761653682,0.720840415,0.501312375,0.730824651
Bayes A,BayesA,3,0.555815305,0.701135006,0.714695433,0.481560996,0.714114737
Bayes A,BayesA,4,0.554108481,0.729825047,0.727845355,0.483095951,0.686751242
Bayes A,BayesA,5,0.604191263,0.75668888,0.715439815,0.522438729,0.760686759
Bayes A,BayesA,6,0.576017638,0.735481568,0.715175214,0.499992136,0.719109395
Bayes A,BayesA,7,0.513342435,0.74030004,0.72209878,0.429325375,0.694361636
Bayes A,BayesA,8,0.575289865,0.748519973,0.735270575,0.456074908,0.714222057
Bayes A,BayesA,9,0.52000433,0.713864983,0.706023761,0.422863396,0.715561578
Bayes A,BayesA,10,0.584683821,0.753649427,0.7217398,0.502335146,0.726425696
Bayes B,BayesB,1,0.6090448,0.75624547,0.668044223,0.53591495,0.765483629
Bayes B,BayesB,2,0.576970747,0.770532631,0.720173034,0.492706867,0.72983274
Bayes B,BayesB,3,0.553227474,0.700409754,0.711405865,0.497528708,0.719924115
Bayes B,BayesB,4,0.548292519,0.744029228,0.725098594,0.502944294,0.691126949
Bayes B,BayesB,5,0.596280262,0.761571238,0.707308899,0.533954724,0.757556311
Bayes B,BayesB,6,0.576825837,0.738918322,0.712830702,0.514385711,0.717142902
Bayes B,BayesB,7,0.520489248,0.75483243,0.719112785,0.445727103,0.687532302
Bayes B,BayesB,8,0.568346683,0.748257829,0.730369354,0.471679562,0.706168203
Bayes B,BayesB,9,0.519979932,0.728987697,0.70922791,0.418427689,0.725198372
Bayes B,BayesB,10,0.579066954,0.75820703,0.721767282,0.501694747,0.717746793
Bayes C,BayesC,1,0.613817159,0.758843431,0.665909929,0.525740466,0.7668656
Bayes C,BayesC,2,0.579101535,0.768632168,0.719019531,0.492201741,0.731882704
Bayes C,BayesC,3,0.55271293,0.698138342,0.704913869,0.473398259,0.721294734
Bayes C,BayesC,4,0.53967344,0.743159189,0.726724668,0.487460719,0.69137062
Bayes C,BayesC,5,0.592801173,0.760384815,0.707964415,0.514251657,0.761511431
Bayes C,BayesC,6,0.574242731,0.73638024,0.709100085,0.501473452,0.721993275
Bayes C,BayesC,7,0.511460104,0.757111914,0.721499892,0.438651689,0.692700767
Bayes C,BayesC,8,0.573335457,0.752985681,0.733018052,0.465519488,0.709408036
Bayes C,BayesC,9,0.508106929,0.725723556,0.704977258,0.417650665,0.724542098
Bayes C,BayesC,10,0.579825924,0.75313301,0.720992207,0.487283361,0.72097248
Bayesian Neural Net,BNN,1,0.636625314,0.739244966,0.656757114,0.511829496,0.771187828
Bayesian Neural Net,BNN,2,0.547768077,0.745618449,0.691471317,0.506148063,0.711456528
Bayesian Neural Net,BNN,3,0.539605575,0.686955987,0.680586055,0.457211028,0.703499555
Bayesian Neural Net,BNN,4,0.542467529,0.712770214,0.716821892,0.521525608,0.69162653
Bayesian Neural Net,BNN,5,0.606703477,0.735440817,0.68175233,0.511481719,0.739967181
Bayesian Neural Net,BNN,6,0.570678592,0.708543716,0.689197869,0.490238774,0.717746558
Bayesian Neural Net,BNN,7,0.508558458,0.72753115,0.700559604,0.407696182,0.644978349
Bayesian Neural Net,BNN,8,0.580660151,0.734688404,0.740397793,0.479661143,0.713863469
Bayesian Neural Net,BNN,9,0.50170726,0.693884755,0.647149978,0.395793039,0.689365135
Bayesian Neural Net,BNN,10,0.54878134,0.728426184,0.702785222,0.490428226,0.722166415
Bayesian Lasso,BL,1,0.627057438,0.761024101,0.674105268,0.52712016,0.773096849
Bayesian Lasso,BL,2,0.577509834,0.764301165,0.723717512,0.491872468,0.735989943
Bayesian Lasso,BL,3,0.563066037,0.699488209,0.709161195,0.472296523,0.721536373
Bayesian Lasso,BL,4,0.545397484,0.73023326,0.729033279,0.461950892,0.687577144
Bayesian Lasso,BL,5,0.60468918,0.758596297,0.715480045,0.518153412,0.760031529
Bayesian Lasso,BL,6,0.579249426,0.736903408,0.712952035,0.494573501,0.719265632
Bayesian Lasso,BL,7,0.516652376,0.744756113,0.721924855,0.433653602,0.693327409
Bayesian Lasso,BL,8,0.577337612,0.752096593,0.732984103,0.447506929,0.715635087
Bayesian Lasso,BL,9,0.521234243,0.716756395,0.701498605,0.434771771,0.720553263
Bayesian Lasso,BL,10,0.590196836,0.752133958,0.722430622,0.492680161,0.726804217
Bayesian Ridge Regression,BRR,1,0.631762139,0.756406787,0.666796641,0.526120073,0.769478932
Bayesian Ridge Regression,BRR,2,0.563132167,0.756379284,0.711642604,0.497231223,0.723690827
Bayesian Ridge Regression,BRR,3,0.548354467,0.687482438,0.69984182,0.466261557,0.709043164
Bayesian Ridge Regression,BRR,4,0.540736818,0.713958426,0.725422,0.476028427,0.683306867
Bayesian Ridge Regression,BRR,5,0.605063173,0.756326323,0.713988469,0.519200899,0.758778583
Bayesian Ridge Regression,BRR,6,0.57053692,0.720896923,0.701539534,0.48251457,0.711742269
Bayesian Ridge Regression,BRR,7,0.495969218,0.722694321,0.709974943,0.437376969,0.681547454
Bayesian Ridge Regression,BRR,8,0.567774894,0.742136906,0.730834564,0.446080099,0.711145941
Bayesian Ridge Regression,BRR,9,0.510328417,0.703192496,0.670435758,0.43055664,0.711692183
Bayesian Ridge Regression,BRR,10,0.57865235,0.735311122,0.716713951,0.494868094,0.72726427
Elastic Net,EN,1,0.598759224,0.73205159,0.662601003,0.529602836,0.745446261
Elastic Net,EN,2,0.569466049,0.742476393,0.724575392,0.493321145,0.705752115
Elastic Net,EN,3,0.556886842,0.699812132,0.714552106,0.467279432,0.699643564
Elastic Net,EN,4,0.521991363,0.717869506,0.725080716,0.463995499,0.670826535
Elastic Net,EN,5,0.551287943,0.753312543,0.700809536,0.501833471,0.765412189
Elastic Net,EN,6,0.562831137,0.730831423,0.708164366,0.468037636,0.698168933
Elastic Net,EN,7,0.48299084,0.735676555,0.714881147,0.414912165,0.676183559
Elastic Net,EN,8,0.563202753,0.728359838,0.724786714,0.470880766,0.669850842
Elastic Net,EN,9,0.47940283,0.718744648,0.701557681,0.408323325,0.701183026
Elastic Net,EN,10,0.569229488,0.75288922,0.706088689,0.474798468,0.697658949
Gradient Boosting Machine,GBM,1,0.677099436,0.820923222,0.655792322,0.687450716,0.787782224
Gradient Boosting Machine,GBM,2,0.585666682,0.81522223,0.673303074,0.665971748,0.784901196
Gradient Boosting Machine,GBM,3,0.615457603,0.790924075,0.669750073,0.673476968,0.759528656
Gradient Boosting Machine,GBM,4,0.643217372,0.793881978,0.692689239,0.648095946,0.719788239
Gradient Boosting Machine,GBM,5,0.659269022,0.791702494,0.664436254,0.65659017,0.759870193
Gradient Boosting Machine,GBM,6,0.612956137,0.796390451,0.663136564,0.649592892,0.749610927
Gradient Boosting Machine,GBM,7,0.61420117,0.805987124,0.709607671,0.666776943,0.785949359
Gradient Boosting Machine,GBM,8,0.626309386,0.809883971,0.665317232,0.660674763,0.751469021
Gradient Boosting Machine,GBM,9,0.648468002,0.800622939,0.685540487,0.652191247,0.771829373
Gradient Boosting Machine,GBM,10,0.648407297,0.815047778,0.675954935,0.681081069,0.77414964
Kernel Partial Least Squares,KPLS,1,0.606055485,0.747345947,0.642424628,0.488739146,0.726355583
Kernel Partial Least Squares,KPLS,2,0.559254096,0.753425584,0.68828357,0.498163903,0.718859422
Kernel Partial Least Squares,KPLS,3,0.529292072,0.684904621,0.690163104,0.443249494,0.682858518
Kernel Partial Least Squares,KPLS,4,0.50129862,0.692110814,0.676795558,0.432184109,0.649611191
Kernel Partial Least Squares,KPLS,5,0.565193589,0.728676353,0.676033013,0.490760307,0.716892288
