Model,Abbreviation,rep,liking,sweetness,sour,intensity
Bayes A,BayesA,1,0.701054162,0.755439745,0.827484139,0.595681907
Bayes A,BayesA,2,0.695912469,0.719493445,0.775223396,0.626797531
Bayes A,BayesA,3,0.686813774,0.751974686,0.835603135,0.6185298
Bayes A,BayesA,4,0.760608309,0.797576376,0.808788203,0.612331339
Bayes A,BayesA,5,0.683039071,0.738174553,0.814959391,0.665516422
Bayes A,BayesA,6,0.693292967,0.763329292,0.861757584,0.593882827
Bayes A,BayesA,7,0.726050932,0.796024675,0.826545014,0.631661897
Bayes A,BayesA,8,0.686362645,0.770671071,0.825938689,0.607671462
Bayes A,BayesA,9,0.689559933,0.773959126,0.817370894,0.607774903
Bayes A,BayesA,10,0.738980871,0.775683295,0.800830598,0.610842546
Bayes B,BayesB,1,0.704927807,0.758954339,0.820922443,0.599298133
Bayes B,BayesB,2,0.693290529,0.720189649,0.767516958,0.639818913
Bayes B,BayesB,3,0.693204928,0.746918464,0.830556119,0.618100297
Bayes B,BayesB,4,0.749565462,0.784130073,0.791661608,0.621580025
Bayes B,BayesB,5,0.69708396,0.749293091,0.813421995,0.666734175
Bayes B,BayesB,6,0.684313184,0.761157765,0.856045163,0.594569739
Bayes B,BayesB,7,0.721675333,0.793329526,0.819837013,0.659698037
Bayes B,BayesB,8,0.697900068,0.772535403,0.802860941,0.619327043
Bayes B,BayesB,9,0.682492355,0.764902259,0.807966615,0.629847847
Bayes B,BayesB,10,0.742587603,0.774162009,0.79101349,0.622957367
Bayes C,BayesC,1,0.704445369,0.753677983,0.81389464,0.589908276
Bayes C,BayesC,2,0.685538933,0.717861149,0.764017841,0.637305159
Bayes C,BayesC,3,0.684563216,0.744008407,0.82675417,0.621132103
Bayes C,BayesC,4,0.750156217,0.779586595,0.792108689,0.612088812
Bayes C,BayesC,5,0.696463586,0.74809498,0.811720449,0.666293409
Bayes C,BayesC,6,0.67798083,0.755677084,0.852549,0.5967439
Bayes C,BayesC,7,0.719999951,0.790554807,0.819514383,0.660771945
Bayes C,BayesC,8,0.687959462,0.770543204,0.798316497,0.615499301
Bayes C,BayesC,9,0.676237676,0.760670055,0.806892171,0.624412856
Bayes C,BayesC,10,0.739367545,0.77054862,0.788339235,0.617254088
Bayesian Lasso,BL,1,0.704915532,0.753440816,0.826119623,0.604577215
Bayesian Lasso,BL,2,0.695183076,0.721214977,0.775479857,0.632252103
Bayesian Lasso,BL,3,0.696401342,0.749440579,0.835290676,0.61994329
Bayesian Lasso,BL,4,0.76309284,0.796556217,0.805288464,0.606243156
Bayesian Lasso,BL,5,0.689195056,0.73972253,0.815902276,0.670581881
Bayesian Lasso,BL,6,0.695456611,0.762881815,0.859961318,0.597701018
Bayesian Lasso,BL,7,0.725781505,0.797785154,0.827054738,0.647193117
Bayesian Lasso,BL,8,0.691009352,0.770168957,0.821692039,0.607532026
Bayesian Lasso,BL,9,0.687821846,0.766798037,0.81724149,0.606330068
Bayesian Lasso,BL,10,0.74417262,0.774763316,0.799231197,0.612701342
Bayesian Neural Net,BNN,1,0.691227465,0.722156449,0.832290171,0.546104517
Bayesian Neural Net,BNN,2,0.686883963,0.684734393,0.772486596,0.584574712
Bayesian Neural Net,BNN,3,0.64780786,0.709953255,0.836951215,0.598164477
Bayesian Neural Net,BNN,4,0.741957834,0.760871505,0.827124012,0.55196251
Bayesian Neural Net,BNN,5,0.664193957,0.692879766,0.812379088,0.628656906
Bayesian Neural Net,BNN,6,0.684931958,0.727827024,0.859586291,0.407529029
Bayesian Neural Net,BNN,7,0.72036849,0.781218922,0.813764759,0.58667564
Bayesian Neural Net,BNN,8,0.649714124,0.723645456,0.824227765,0.532285974
