model,experiment,type,intensity,sour,sweetness,liking
gBLUP,1,genomic,0.285582324,0.074254268,0.193782054,0.025506102
gBLUP,2,genomic,0.413170424,0.242809444,0.291821675,0.051422087
gBLUP,3,genomic,0.273298469,0.198448489,0.044871333,-0.071939382
gBLUP,4,genomic,0.269980646,0.232514429,0.029609928,-0.197661765
gBLUP,5,genomic,0.113205852,-0.026310455,0.113528013,-0.265564807
gBLUP,6,genomic,0.306079453,0.185986426,0.117138314,-0.070310638
gBLUP,7,genomic,0.344474644,0.16035475,0.20572412,-0.147171159
gBLUP,8,genomic,0.347230391,0.247905374,0.143140245,-0.004618359
gBLUP,9,genomic,0.39549032,0.231084898,0.231919611,-0.166401194
gBLUP,10,genomic,0.300759806,0.211619308,0.166033584,-0.204597847
gBLUP,11,genomic,0.256765116,0.129249443,0.136611544,-0.134342011
gBLUP,12,genomic,0.377313813,0.202113636,0.211195232,-0.16099784
gBLUP,13,genomic,0.277739423,0.13195668,0.208449804,-0.098548206
gBLUP,14,genomic,0.356894898,0.186490201,0.244772245,-0.133898981
gBLUP,15,genomic,0.231478711,0.186420608,0.119885166,-0.121267234
gBLUP,16,genomic,0.35973418,0.252642656,0.230320621,-0.114585993
gBLUP,17,genomic,0.156717023,0.23921407,0.121133255,-0.324922971
gBLUP,18,genomic,0.279038237,0.216642738,0.071332738,-0.16026679
gBLUP,19,genomic,0.307680213,0.272727042,0.103951898,-0.158119986
gBLUP,20,genomic,0.261229163,0.204949947,0.217885113,-0.16170857
gBLUP,21,genomic,0.354243021,0.393513244,0.268623705,-0.219013158
gBLUP,22,genomic,0.280203422,0.128289189,0.091213647,-0.203811602
gBLUP,23,genomic,0.330937489,0.117975216,0.26201521,-0.185732875
gBLUP,24,genomic,0.304474051,0.14635671,0.157635778,-0.112454312
gBLUP,25,genomic,0.315364326,0.387904064,0.106182743,-0.067924116
gBLUP,26,genomic,0.167822996,0.137539308,0.201723188,-0.064185814
gBLUP,27,genomic,0.331483025,0.156958357,0.22316335,-0.046056922
gBLUP,28,genomic,0.406417595,0.274472196,0.17684354,-0.002343189
gBLUP,29,genomic,0.239741105,0.35805073,-0.055095224,-0.124973033
gBLUP,30,genomic,0.130856817,0.101250246,0.045551653,-0.175957243
gBLUP,31,genomic,0.311149458,0.218568604,0.24681242,0.045774681
gBLUP,32,genomic,0.385833516,0.247468066,0.205397116,0.020397399
gBLUP,33,genomic,0.304426673,0.206551195,0.118425014,-0.041792753
gBLUP,34,genomic,0.304656473,0.02295941,0.202191595,-0.117893822
gBLUP,35,genomic,0.472321075,0.221775167,0.390158771,-0.095419962
gBLUP,36,genomic,0.276687273,0.170564919,0.14811848,-0.340538533
gBLUP,37,genomic,0.314264624,0.211197973,0.084753223,-0.097022685
gBLUP,38,genomic,0.238204971,0.077283865,0.220464239,-0.046152431
gBLUP,39,genomic,0.220800201,0.167132351,0.1452476,-0.256106251
gBLUP,40,genomic,0.335725825,0.203895526,0.134145667,-0.122450311
gBLUP,41,genomic,0.164515886,0.2042838,0.182401729,-0.256255004
gBLUP,42,genomic,0.311151264,0.302689027,0.100478989,-0.112459573
gBLUP,43,genomic,0.347886955,0.240073838,0.100012196,-0.180998687
gBLUP,44,genomic,0.27710336,0.30337699,0.120849409,-0.271690804
gBLUP,45,genomic,0.187835119,0.11313848,0.01124961,-0.065135912
gBLUP,46,genomic,0.38249723,0.213473307,0.197854635,-0.278682327
gBLUP,47,genomic,0.403578044,0.14854512,0.178883857,-0.097989769
gBLUP,48,genomic,0.366337666,0.211980302,0.118350288,-0.128901598
gBLUP,49,genomic,0.369633388,0.36060347,0.296904177,0.00389785
gBLUP,50,genomic,0.350232092,0.198792622,0.20323956,-0.050302027
gBLUP,51,genomic,0.297147686,0.252875227,0.145209428,-0.159476616
gBLUP,52,genomic,0.356269246,0.197416125,0.065830651,-0.074027898
gBLUP,53,genomic,0.22538908,0.27608603,0.060328866,-0.03180519
gBLUP,54,genomic,0.267224213,0.173406968,0.162788645,-0.206323583
gBLUP,55,genomic,0.297823038,0.249237405,0.163227435,0.073596434
gBLUP,56,genomic,0.190986263,0.258127648,0.133063347,0.017836172
gBLUP,57,genomic,0.358022115,0.216772328,0.179066677,-0.124002246
gBLUP,58,genomic,0.21814953,0.132835646,0.037783941,-0.116217866
gBLUP,59,genomic,0.295335217,0.235070451,0.057033632,-0.129361008
gBLUP,60,genomic,0.309099012,0.108198546,0.219137235,-0.134433062
gBLUP,61,genomic,0.237584481,0.256655015,0.076411381,-0.174780924
gBLUP,62,genomic,0.310459864,0.280401106,0.187711664,-0.081763066
gBLUP,63,genomic,0.201237657,0.098441923,0.289418033,-0.064054702
gBLUP,64,genomic,0.449808983,0.4025925,0.282528291,0.008111093
gBLUP,65,genomic,0.27898399,0.147861745,0.132637332,-0.250438647
gBLUP,66,genomic,0.322891525,0.128030882,0.152524934,-0.185102249
gBLUP,67,genomic,0.305079135,0.211587245,0.228865948,-0.087955254
gBLUP,68,genomic,0.25007399,0.118127523,0.098263379,-0.068385332
gBLUP,69,genomic,0.291553761,0.135043415,0.121964188,-0.037721395
gBLUP,70,genomic,0.271355339,0.134739307,0.19688608,-0.06806962
gBLUP,71,genomic,0.339590008,0.231128204,0.268021545,-0.059278452
gBLUP,72,genomic,0.30907608,0.084749889,0.152691261,-0.109010893
gBLUP,73,genomic,0.230912698,0.235524902,0.056740747,-0.156379578
gBLUP,74,genomic,0.435301057,0.247425729,0.286938627,-0.109844534
gBLUP,75,genomic,0.415683405,0.279451558,0.193091878,-0.059353981
gBLUP,76,genomic,0.238020221,0.077403568,0.209547489,-0.159895213
gBLUP,77,genomic,0.307290762,0.122484555,0.279770057,-0.146096102
gBLUP,78,genomic,0.247114714,0.068380225,0.11520777,0.084062773
gBLUP,79,genomic,0.354352146,0.385280801,0.256838757,-0.157881309
gBLUP,80,genomic,0.366694709,0.314371423,0.229060813,0.018885722
gBLUP,81,genomic,0.320429017,0.120227444,0.314979227,0.015072949
gBLUP,82,genomic,0.240249234,0.129065151,0.040011267,-0.080375745
gBLUP,83,genomic,0.20348879,0.192638029,0.057397241,-0.142518308
gBLUP,84,genomic,0.2215338,0.071284689,0.113520075,-0.139559334
gBLUP,85,genomic,0.199503557,0.068612857,0.213065411,-0.134517156
gBLUP,86,genomic,0.249209303,0.079477202,0.247818071,-0.174431067
gBLUP,87,genomic,0.188878479,0.102690977,0.073413161,-0.192365776
gBLUP,88,genomic,0.195876799,0.067960477,0.081217241,-0.048343106
gBLUP,89,genomic,0.274080825,0.20493317,0.311697109,-0.080749467
gBLUP,90,genomic,0.205615881,0.056689907,0.13844068,-0.089752816
gBLUP,91,genomic,0.369575034,0.157778054,0.20205771,-0.050938876
gBLUP,92,genomic,0.313412661,0.240067005,-0.024275098,-0.239611634
gBLUP,93,genomic,0.254952565,0.363016008,0.099561505,-0.15827401
gBLUP,94,genomic,0.323090461,0.177751675,0.191434097,-0.155607565
gBLUP,95,genomic,0.210967959,0.112897751,0.114316635,-0.152683859
gBLUP,96,genomic,0.210802668,0.182897585,0.154665344,-0.16118434
