Dataset S9. Summary of panel demographics for blueberry sensory panels.,,,,,,,,,,,,,,,,
Variety,Panel,Panel Date,Panelists,<24,25-34,35-50,51-67,AgeNA,Female,Male,Asian,Black,White,RaceNA,Hispanic,Not Hispanic
Meadowlark,1,20120403,93,52,21,7,12,1,63,30,29,5,56,3,9,84
Farthing,1,20120403,93,52,21,7,12,1,63,30,29,5,56,3,9,84
Primadonna,1,20120403,93,52,21,7,12,1,63,30,29,5,56,3,9,84
Emerald,1,20120403,93,52,21,7,12,1,63,30,29,5,56,3,9,84
Scintilla,1,20120403,93,52,21,7,12,1,63,30,29,5,56,3,9,84
Endura,1,20120403,93,52,21,7,12,1,63,30,29,5,56,3,9,84
Meadowlark,2,20120405,90,50,19,9,11,1,61,29,30,6,51,3,10,80
Emerald,2,20120405,90,50,19,9,11,1,61,29,30,6,51,3,10,80
Primadonna,2,20120405,90,50,19,9,11,1,61,29,30,6,51,3,10,80
Endura,2,20120405,90,50,19,9,11,1,61,29,30,6,51,3,10,80
Farthing,2,20120405,90,50,19,9,11,1,61,29,30,6,51,3,10,80
Farthing,3,20120410,95,50,23,8,13,1,67,28,29,6,56,4,8,87
Endura,3,20120410,95,50,23,8,13,1,67,28,29,6,56,4,8,87
Scintilla,3,20120410,95,50,23,8,13,1,67,28,29,6,56,4,8,87
Primadonna,3,20120410,95,50,23,8,13,1,67,28,29,6,56,4,8,87
Emerald,3,20120410,95,50,23,8,13,1,67,28,29,6,56,4,8,87
Meadowlark,3,20120410,95,50,23,8,13,1,67,28,29,6,56,4,8,87
Endura,4,20120412,90,47,19,11,12,1,63,27,29,5,53,3,7,83
Farthing,4,20120412,90,47,19,11,12,1,63,27,29,5,53,3,7,83
Scintilla,4,20120412,90,47,19,11,12,1,63,27,29,5,53,3,7,83
Primadonna,4,20120412,90,47,19,11,12,1,63,27,29,5,53,3,7,83
Meadowlark,4,20120412,90,47,19,11,12,1,63,27,29,5,53,3,7,83
Emerald,4,20120412,90,47,19,11,12,1,63,27,29,5,53,3,7,83
Meadowlark,5,20120416,91,48,19,11,12,1,64,27,25,5,58,3,10,81
Primadonna,5,20120416,91,48,19,11,12,1,64,27,25,5,58,3,10,81
Farthing,5,20120416,91,48,19,11,12,1,64,27,25,5,58,3,10,81
Emerald,5,20120416,91,48,19,11,12,1,64,27,25,5,58,3,10,81
Endura,5,20120416,91,48,19,11,12,1,64,27,25,5,58,3,10,81
Farthing,6,20120418,90,50,18,10,11,1,60,30,28,4,54,4,11,79
Emerald,6,20120418,90,50,18,10,11,1,60,30,28,4,54,4,11,79
Scintilla,6,20120418,90,50,18,10,11,1,60,30,28,4,54,4,11,79
Primadonna,6,20120418,90,50,18,10,11,1,60,30,28,4,54,4,11,79
Endura,6,20120418,90,50,18,10,11,1,60,30,28,4,54,4,11,79
Meadowlark,6,20120418,90,50,18,10,11,1,60,30,28,4,54,4,11,79
Primadonna,7,20120420,72,37,13,10,11,1,50,22,21,4,45,2,5,67
Meadowlark,7,20120420,72,37,13,10,11,1,50,22,21,4,45,2,5,67
Farthing,7,20120420,72,37,13,10,11,1,50,22,21,4,45,2,5,67
Endura,7,20120420,72,37,13,10,11,1,50,22,21,4,45,2,5,67
Emerald,7,20120420,72,37,13,10,11,1,50,22,21,4,45,2,5,67
Scintilla,7,20120420,72,37,13,10,11,1,50,22,21,4,45,2,5,67
Primadonna,8,20120423,79,45,13,9,11,1,53,26,22,4,50,3,8,71
Meadowlark,8,20120423,79,45,13,9,11,1,53,26,22,4,50,3,8,71
Endura,8,20120423,79,45,13,9,11,1,53,26,22,4,50,3,8,71
Emerald,8,20120423,79,45,13,9,11,1,53,26,22,4,50,3,8,71
Farthing,8,20120423,79,45,13,9,11,1,53,26,22,4,50,3,8,71
Primadonna,9,20120425,85,45,18,10,11,1,60,25,24,6,53,2,6,79
Farthing,9,20120425,85,45,18,10,11,1,60,25,24,6,53,2,6,79
Emerald,9,20120425,85,45,18,10,11,1,60,25,24,6,53,2,6,79
Endura,9,20120425,85,45,18,10,11,1,60,25,24,6,53,2,6,79
Meadowlark,9,20120425,85,45,18,10,11,1,60,25,24,6,53,2,6,79
Scintilla,9,20120425,85,45,18,10,11,1,60,25,24,6,53,2,6,79
Meadowlark,10,20130327,89,41,19,12,17,0,59,30,29,5,55,0,5,84
Primadonna,10,20130327,89,41,19,12,17,0,59,30,29,5,55,0,5,84
Farthing,10,20130327,89,41,19,12,17,0,59,30,29,5,55,0,5,84
Endura,10,20130327,89,41,19,12,17,0,59,30,29,5,55,0,5,84
Emerald,10,20130327,89,41,19,12,17,0,59,30,29,5,55,0,5,84
Scintilla,10,20130327,89,41,19,12,17,0,59,30,29,5,55,0,5,84
Farthing,11,20130329,88,37,20,13,18,0,59,29,26,7,54,1,8,80
Emerald,11,20130329,88,37,20,13,18,0,59,29,26,7,54,1,8,80
Endura,11,20130329,88,37,20,13,18,0,59,29,26,7,54,1,8,80
Primadonna,11,20130329,88,37,20,13,18,0,59,29,26,7,54,1,8,80
Meadowlark,11,20130329,88,37,20,13,18,0,59,29,26,7,54,1,8,80
Meadowlark,12,20130402,95,41,23,13,18,0,66,29,24,7,60,4,10,85
Emerald,12,20130402,95,41,23,13,18,0,66,29,24,7,60,4,10,85
Primadonna,12,20130402,95,41,23,13,18,0,66,29,24,7,60,4,10,85
Farthing,12,20130402,95,41,23,13,18,0,66,29,24,7,60,4,10,85
Endura,12,20130402,95,41,23,13,18,0,66,29,24,7,60,4,10,85
Scintilla,12,20130402,95,41,23,13,18,0,66,29,24,7,60,4,10,85
Farthing,13,20130404,95,42,23,13,17,0,69,26,30,6,55,4,9,86
Scintilla,13,20130404,95,42,23,13,17,0,69,26,30,6,55,4,9,86
Meadowlark,13,20130404,95,42,23,13,17,0,69,26,30,6,55,4,9,86
Endura,13,20130404,95,42,23,13,17,0,69,26,30,6,55,4,9,86
Primadonna,13,20130404,95,42,23,13,17,0,69,26,30,6,55,4,9,86
Emerald,13,20130404,95,42,23,13,17,0,69,26,30,6,55,4,9,86
Primadonna,14,20130409,85,40,22,10,13,0,61,24,26,6,49,4,10,75
Emerald,14,20130409,85,40,22,10,13,0,61,24,26,6,49,4,10,75
Meadowlark,14,20130409,85,40,22,10,13,0,61,24,26,6,49,4,10,75
Farthing,14,20130409,85,40,22,10,13,0,61,24,26,6,49,4,10,75
Endura,14,20130409,85,40,22,10,13,0,61,24,26,6,49,4,10,75
Primadonna,15,20130411,88,41,21,10,16,0,62,26,24,7,53,4,8,80
Emerald,15,20130411,88,41,21,10,16,0,62,26,24,7,53,4,8,80
Scintilla,15,20130411,88,41,21,10,16,0,62,26,24,7,53,4,8,80
Meadowlark,15,20130411,88,41,21,10,16,0,62,26,24,7,53,4,8,80
Endura,15,20130411,88,41,21,10,16,0,62,26,24,7,53,4,8,80
Farthing,15,20130411,88,41,21,10,16,0,62,26,24,7,53,4,8,80
