id,liking,sweetness,sour,umami,intensity,Soluble solids,citric,malic acid,glucose,fructose,glutamic acid,1-nitro-2-phenylethane,1-nitro-3-methylbutane,1-octen-3-one,1-pentanol,1-penten-3-ol,1-penten-3-one,"2,5-dimethyl-4-hydroxy-3(2H)-furanone",2-butylacetate,2-ethylfuran,2-isobutylthiazole,2-methyl-1-butanol,2-methyl-2-butenal,2-methylbutyl acetate,2-methylbutyraldehyde,2-phenyl ethanol,3-methyl-1-butanol,3-methyl-1-pentanol,3-methyl-2-butenal,3-pentanone,4-carene,6-methyl-5-hepten-2-ol,6-methyl-5-hepten-2-one,b-cyclocitral,b-damascenone,benzaldehyde,benzothiazole,benzyl alcohol,benzyl cyanide,b-ionone,butyl acetate,cis-2-penten-1-ol,cis-3-hexen-1-ol,cis-3-hexenal,cis-3-hexenyl acetate,cis-4-decenal,eugenol,geranial,geranylacetone,guaiacol,heptaldehyde,hexanal,hexyl acetate,hexyl alcohol,isobutyl acetate,isopentyl acetate,isovaleraldehyde,isovaleric acid,isovaleronitrile,methional,methylsalicylate,neral,nonyl aldehyde,p-anisaldehyde,phenylacetaldehyde,prenyl acetate,propyl acetate,salicylaldehyde,"trans,trans-2,4-decadienal",trans-2-heptenal,trans-2-hexenal,trans-2-pentenal,trans-3-hexen-1-ol
150,21.4079,19.3553,12.5263,12.7763,26.3026,4.53333,2.66545,0.22261,16.25157,16.41873,1.51305,1.04756,4.67731,0.02446,4.04383,8.30196,2.2537,0.09865,0.52856,0.08612,4.73719,24.0482,19.5957,1.44666,5.51906,0.01764,11.18673,0.09119,0.2396,11.35314,0.01101,0.08595,4.31385,0.067434,0.006077,1.21328,0.1701,0.21457,0.22364,0.01796,0.16044,0.85229,59.56914,37.22394,1.44532,0.68311,0.15079,0.10894,0.70739,0.20145,0.63344,22.28927,0.13588,7.79802,1.84208,0.05874,5.44315,0.08139,3.19746,0.03694,0.16915,0.14557,0.09514,0.00321,0.45476,0.0127,0.67789,0.4461,0.00486,0.08973,1.07108,1.36014,0.61085
161,16.79,18.13,11.29,10.86,22.19,6.35,2.7,0.22,21.61,20.52,10.01,1.35,7.69,0.03,1.21,0.41,0.51,0.31,0.01,0.11,7.94,2.3,2.21,0.091,4.9,0.029,6.9,0.029,0.07,2.47,0.013,0.224,2.78,0.035,0.0041,1.47,0.143,0.93,0.42,0.012,0.016,0.24,7.34,4.49,0.66,0.79,0.017,0.11,0.67,0.03,1.71,13.31,0.06,3.21,0.1,0.015,4.58,0.025,8.37,0.01,0.01,0.19,0.2,0.002,0.12,0.006,0.07,0.06,0.02,0.19,0.33,0.27,0.08
176,18.25,22.4,14.93,14.12,28.32,5.75,3.2,0.3,20.81,20.54,4.55,1.74,5.97,0.08,1.95,1.46,1.92,0.73,0.27,2.92,2.54,2.33,2.29,0.128,6.45,0.012,6.44,0.148,0.124,7.09,0.163,0.06,2.98,0.036,0.0022,1.47,0.073,0.52,0.37,0.01,0.052,1.16,13.61,12.74,1.41,1.3,0.062,0.13,0.12,0.14,1.77,40.27,0.32,5.2,0.35,0.054,6.88,0.042,4.14,0.45,0.2,0.12,0.13,0.011,0.11,0.012,0.29,0.18,0.06,0.61,1.24,1.18,0.2
205,18.48,17.12,13.17,14.95,28.41,4.8,4.05,0.45,16.65,16.88,6.75,0.24,1.74,0.02,0.32,0.63,0.36,0.02,0.05,0.01,1.52,1.15,1.5,0.04,7.81,0.005,2.84,0.021,0.04,2.76,0.016,0.017,0.18,0.01,0.0031,0.15,0.028,0.46,0.05,0.004,0.023,0.25,1.97,2.82,0.11,0.07,0.023,0.04,0.01,0.02,0.44,11.47,0.03,0.59,0.09,0.009,6.72,0.03,2.18,0.28,0.03,0.07,0.03,0.003,0.02,0.004,0.1,0.04,0,0.02,0.09,0.15,0.01
246,5.5732,13.6098,16.1341,10,21.2073,4.3,3.00709,0.51076,13.99748,15.39858,1.91834,0.62817,23.993,0.05743,2.24295,4.24547,1.00998,0.13302,0.51976,0.24785,4.45985,18.65873,14.95168,3.60564,5.6596,0.03723,46.0536,2.11901,0.1637,4.09928,0.04723,0.13444,4.71624,0.090018,0.008716,9.19297,0.26772,0.25825,0.1062,0.04193,0.16476,1.80647,36.15473,110.92229,2.29887,1.0363,0.01863,0.15015,0.88435,0.06388,3.39402,188.32148,0.70302,16.40034,2.07451,0.95229,30.04422,0.06646,9.39765,0.08291,0.05037,0.24605,0.4164,0.00277,0.49104,0.01468,0.36942,0.15393,0.006,0.26814,3.13359,0.73477,0.91499
298,18.6463,19.939,19.7927,14.6707,29.5366,4.5,4.03972,0.55168,13.60503,16.70355,1.50857,1.53275,17.07769,0.03436,4.38843,5.33719,0.87935,0.12847,0.07046,0.22083,9.13164,47.5679,47.90998,7.31364,13.08582,1.1377,46.03002,0.61323,0.52727,9.24929,0.01947,0.23345,10.02988,0.124601,0.011108,11.99269,0.24266,0.55101,0.40429,0.03929,0.58273,1.10578,32.88659,36.92726,2.14451,1.08979,0.73629,0.29585,2.83853,0.20818,2.23165,60.26278,0.62872,14.89354,3.87383,0.65383,26.27249,0.05889,8.72455,0.07982,0.35396,0.23617,0.28004,0.03887,0.68206,0.04263,1.55932,0.65566,0.00662,0.19872,1.31796,0.57922,1.18168
319,13.0562,17.0112,16.4494,13.7303,25.427,4.26667,4.05674,0.48113,13.39371,16.59007,1.23513,0.03868,1.2794,0.05144,1.90848,4.0711,1.10102,0.15721,0.11026,0.08452,2.55491,12.11777,9.73203,1.63471,4.88226,0.00952,26.98164,0.05738,0.76872,8.19169,0.0192,0.1407,1.32751,0.065151,0.00495,0.94456,0.06585,0.15835,0.02656,0.0343,0.12461,0.86383,25.4,43.88163,1.67223,1.00729,0.00671,0.05968,0.37103,0.02865,0.88015,76.23093,0.44977,12.53335,4.6983,0.29697,13.55565,0.0383,0.56404,0.02046,0.0569,0.13453,0.31473,0.00643,0.07763,0.00838,0.76211,0.08581,0.01094,0.17746,1.15562,0.92899,0.10566
336,15.38,16.45,12.96,14.43,24.82,4.97,3.78,0.39,18.76,18.42,5.24,0.94,6.89,0.03,1.5,1.19,0.49,0.15,0.21,0.03,3.7,2.05,1.68,0.118,6.41,0.01,6.74,0.049,0.071,3.76,0.057,0.021,1.95,0.042,0.0023,0.88,0.057,1.03,0.18,0.012,0.04,0.39,10.04,5.9,0.77,0.51,0.1,0.08,0.21,0.09,2.32,23.14,0.19,5.64,0.15,0.019,8.14,0.033,5.08,0.22,0.13,0.16,0.08,0.002,0.07,0.007,0.12,0.15,0.01,0.18,0.31,0.32,0.1
349,18.88,17.17,16.35,14.88,27.77,4.07,3.86,0.52,14.29,15.29,6.86,1.45,6.9,0.04,1.18,1.59,0.36,0.07,0.06,0.04,4.74,3.08,2.91,0.26,6.58,0.007,11.05,0.083,0.071,3.21,0.059,0.045,1.08,0.021,0.0025,0.63,0.054,1.43,0.24,0.007,0.098,0.35,12.87,15.89,0.57,0.26,0.133,0.06,0.04,0.1,2.87,65.03,0.28,8.27,0.41,0.048,11.09,0.073,7.52,0.16,0.38,0.11,0.07,0.003,0.13,0.004,0.14,0.1,0,0.18,0.43,0.45,0.13
384,19.9,21.41,14.68,11.97,27.59,8.2,4.54,0.32,30.93,29.68,19.98,1.67,7.93,0.07,2.52,1.69,1.22,0.37,0.03,0.53,11.67,4.69,3.58,0.123,6.56,0.035,17.53,0.173,0.12,6.06,0.028,0.261,5.5,0.055,0.0045,2.76,0.097,1.19,0.63,0.028,0.031,0.55,20.06,8.87,0.91,0.83,0.042,0.18,1.28,0.02,2.28,25.4,0.07,7.05,0.12,0.033,8.05,0.037,12.45,0.05,0.02,0.17,0.24,0.004,0.14,0.021,0.11,0.07,0.02,0.38,0.76,1.02,0.13
