Dataset S8. Summary of panel demographics for tomato sensory panels.,,,,,,,,,,,,,,,,
Variety,Panel,VarietyByPanel,Panelists,<24,25-34,35-50,51-67,AgeNA,Female,Male,Asian,Black,White,RaceNA,Hispanic,Not Hispanic
Ailsa Craig,1,AilsaCraig1,88,56,21,6,4,1,56,32,17,8,57,6,13,75
Cherry Roma,1,CherryRoma1,88,56,21,6,4,1,56,32,17,8,57,6,13,75
Porter,1,Porter1,88,56,21,6,4,1,56,32,17,8,57,6,13,75
Red Pear,1,RedPear1,88,56,21,6,4,1,56,32,17,8,57,6,13,75
Supermarket Cherry 1,1,SupermarketCherry1,88,56,21,6,4,1,56,32,17,8,57,6,13,75
Tommy Toe,1,TommyToe1,88,56,21,6,4,1,56,32,17,8,57,6,13,75
Bloody Butcher,2,BloodyButcher2,91,57,21,7,5,1,58,33,17,9,56,9,14,77
Chadwick Cherry,2,ChadwickCherry2,91,57,21,7,5,1,58,33,17,9,56,9,14,77
Large Red Cherry,2,LargeRedCherry2,55,39,8,4,3,1,33,22,10,3,35,7,9,46
Matina,2,Matina2,36,18,13,3,2,0,25,11,7,6,21,2,5,31
Peacevine Cherry,2,PeacevineCherry2,91,57,21,7,5,1,58,33,17,9,56,9,14,77
Stupice,2,Stupice2,55,39,8,4,3,1,33,22,10,3,35,7,9,46
Supermarket Cherry 2,2,SupermarketCherry2,91,57,21,7,5,1,58,33,17,9,56,9,14,77
Thai Pink Cherry,2,ThaiPinkCherry2,36,18,13,3,2,0,25,11,7,6,21,2,5,31
Bloody Butcher,3,BloodyButcher3,89,57,21,8,3,0,56,33,17,9,54,9,14,75
Giant Belgium,3,GiantBelgium3,89,57,21,8,3,0,56,33,17,9,54,9,14,75
Marmande VFA,3,MarmandeVFA3,89,57,21,8,3,0,56,33,17,9,54,9,14,75
Supermarket Round 1,3,SupermarketRound3,89,57,21,8,3,0,56,33,17,9,54,9,14,75
Thessaloniki,3,Thessaloniki3,89,57,21,8,3,0,56,33,17,9,54,9,14,75
Aunt Ruby's German Green,4,AuntRubysGermanGreen4,85,53,19,8,4,1,52,33,16,9,51,9,14,71
Brandywine,4,Brandywine4,85,53,19,8,4,1,52,33,16,9,51,9,14,71
Dixie Golden Giant,4,DixieGoldenGiant4,85,53,19,8,4,1,52,33,16,9,51,9,14,71
Red Calabash,4,RedCalababash4,85,53,19,8,4,1,52,33,16,9,51,9,14,71
Supermarket Round 2,4,SupermarketRound4,85,53,19,8,4,1,52,33,16,9,51,9,14,71
Thessaloniki,4,Thessaloniki4,85,53,19,8,4,1,52,33,16,9,51,9,14,71
Clear Pink Slicer,5,ClearPinkSlicer5,80,47,21,8,3,1,42,38,17,8,50,5,10,70
Skorospelka Red ,5,SkorospelkaRed5,80,47,21,8,3,1,42,38,17,8,50,5,10,70
Supermarket Round 3,5,SupermarketRound5,80,47,21,8,3,1,42,38,17,8,50,5,10,70
Three Sisters,5,ThreeSisters5,80,47,21,8,3,1,42,38,17,8,50,5,10,70
Tigerella Orange,5,TigerellaOrange5,80,47,21,8,3,1,42,38,17,8,50,5,10,70
Yellow Perfection,5,YellowPerfection5,80,47,21,8,3,1,42,38,17,8,50,5,10,70
Ailsa Craig,6,AilsaCraig6,82,48,21,8,4,1,41,41,14,9,53,6,10,72
Amish Salad,6,AmishSalad6,82,48,21,8,4,1,41,41,14,9,53,6,10,72
Bloody Butcher,6,BloodyButcher6,82,48,21,8,4,1,41,41,14,9,53,6,10,72
Garden Peach,6,GardenPeach6,82,48,21,8,4,1,41,41,14,9,53,6,10,72
Gulf State Market ,6,GulfStateMarket6,82,48,21,8,4,1,41,41,14,9,53,6,10,72
Supermarket Round 4,6,SupermarketRound6,82,48,21,8,4,1,41,41,14,9,53,6,10,72
Green Zebra,7,GreenZebra7,78,45,22,7,3,1,40,38,15,10,49,4,8,70
Kentucky Beefsteak,7,KentuckyBeefsteak7,78,45,22,7,3,1,40,38,15,10,49,4,8,70
St. Pierre,7,StPierre7,78,45,22,7,3,1,40,38,15,10,49,4,8,70
Supermarket Round 5,7,SupermarketRound7,78,45,22,7,3,1,40,38,15,10,49,4,8,70
Super Sioux,7,SuperSioux7,78,45,22,7,3,1,40,38,15,10,49,4,8,70
Zapotec,7,Zapotec7,78,45,22,7,3,1,40,38,15,10,49,4,8,70
LA1482,8,LA1482_8,76,47,20,6,3,0,38,38,15,9,47,5,11,65
Lemon Drop,8,LemonDrop8,76,47,20,6,3,0,37,39,15,9,47,5,11,65
Matt's Wild Cherry,8,MattsWildCherry8,76,47,20,6,3,0,38,38,15,9,47,5,11,65
Mexico Midget,8,MexicoMidget8,76,47,20,6,3,0,38,38,15,9,47,5,11,65
Supermarket Cherry 3,8,SupermarketCherry8,76,47,20,6,3,0,38,38,15,9,47,5,11,65
Yellow Jelly Bean,8,YellowYellyBean8,76,47,20,6,3,0,38,38,15,9,47,5,11,65
Giant Oxheart,9,GiantOxheart9,84,48,23,7,5,1,53,31,18,4,50,12,13,71
Glacier,9,Glacier9,84,48,23,7,5,1,53,31,18,4,50,12,13,71
Maglia Rosa Cherry,9,MagliaRosaCherry9,84,48,23,7,5,1,53,31,18,4,50,12,13,71
Oregon Spring Bush,9,OregonSpringBush9,84,48,23,7,5,1,53,31,18,4,50,12,13,71
Santiam,9,Santiam9,84,48,23,7,5,1,53,31,18,4,50,12,13,71
Wisconsin 55,9,Wiscosin55_9,84,48,23,7,5,1,53,31,18,4,50,12,13,71
German Head,10,GermanHead10,80,45,24,6,4,1,52,28,22,3,46,9,11,69
Hillbilly,10,Hillbilly10,80,45,24,6,4,1,52,28,22,3,46,9,11,69
Livingston's Globe,10,LivingstonsGlobe10,80,45,24,6,4,1,52,28,22,3,46,9,11,69
Micado Violettor,10,MicadoViolettor10,80,45,24,6,4,1,52,28,22,3,46,9,11,69
Old Brooks,10,OldBrooks10,80,45,24,6,4,1,52,28,22,3,46,9,11,69
Park's Whopper,10,ParksWhopper10,80,45,24,6,4,1,52,28,22,3,46,9,11,69
Black,11,Black11,81,44,23,8,5,1,51,30,19,3,49,10,13,68
Cherokee Purple,11,CherokeePurple11,81,44,23,8,5,1,51,30,19,3,49,10,13,68
Livingston's Stone,11,LivingstonsStone11,81,44,23,8,5,1,51,30,19,3,49,10,13,68
Nyagous,11,Nyagous11,81,44,23,8,5,1,51,30,19,3,49,10,13,68
Oaxacan Pink,11,OaxacanPink11,81,44,23,8,5,1,51,30,19,3,49,10,13,68
Ponderosa Pink,11,PonderosaPink11,81,44,23,8,5,1,51,30,19,3,49,10,13,68
Crimson Sprinter,12,CrimsonSprinter12,66,36,22,6,2,0,42,24,17,2,40,7,9,57
