nodeName	altName	nodeAttr[nodesPresent, ]
liking	NA	yellow
sweetness	NA	yellow
sour	NA	yellow
intensity	NA	yellow
Soluble solids	NA	green
TA	NA	yellow
firmness	NA	brown
fructose	NA	green
glucose	NA	green
1-Penten-3-ol	NA	blue
Valeraldehyde	NA	brown
Methyl butyrate	NA	grey
2-Pentenal	NA	brown
1-Pentanol	NA	blue
2-Penten-1-ol	NA	blue
Hexanal	NA	brown
2-Hexen-1-al	NA	brown
2-Hexen-1-ol	NA	blue
1-Hexanol	NA	blue
Isoamyl acetate	NA	grey
2-Heptanone	NA	turquoise
Heptanal	NA	brown
Methyl hexanoate	NA	grey
6-Methyl-2-heptanone	NA	turquoise
6-Methyl-5-hepten-2-one	NA	turquoise
2-Octanone	NA	turquoise
Ethyl hexanoate	NA	grey
3-Hexenyl-acetate	NA	blue
Hexyl acetate	NA	grey
2-Hexenyl-acetate	NA	blue
2-Nonanone	NA	grey
Linalool	NA	grey
Nonanal	NA	grey
2-Hexenyl-butyrate	NA	grey
Dodecane	NA	grey
Methyl salicylate	NA	grey
Geranial	NA	grey
2-Undecanone	NA	grey
Tridecane	NA	turquoise
Nerylacetone	NA	turquoise
(E)-geranyl-acetone	NA	turquoise
Caryophyllene	NA	grey
